mode,dr,auc,n_sig,n_bkg
default,0.2,0.7273419126234466,9291,570694
default,0.3,0.7449187627498508,9291,570694
default,0.4,0.7509564538648941,9291,570694
default,0.5,0.7507850567499181,9291,570694
eta-half,0.2,0.7224244653435583,9291,570694
eta-half,0.3,0.7389030495699315,9291,570694
eta-half,0.4,0.744144149734254,9291,570694
eta-half,0.5,0.7432252777348252,9291,570694
eta-double,0.2,0.7260486369165782,9291,570694
eta-double,0.3,0.7422767348440305,9291,570694
eta-double,0.4,0.7457677002407841,9291,570694
eta-double,0.5,0.7431233573097038,9291,570694
pt-half,0.2,0.7421090598747597,9291,570694
pt-half,0.3,0.7631683748703388,9291,570694
pt-half,0.4,0.7678920259635565,9291,570694
pt-half,0.5,0.7634438036568941,9291,570694
pt-4th,0.2,0.7485658778734189,9291,570694
pt-4th,0.3,0.7707148074583383,9291,570694
pt-4th,0.4,0.7702862150918081,9291,570694
pt-4th,0.5,0.7598932323476428,9291,570694
pt-8th,0.2,0.7425572002957257,9291,570694
pt-8th,0.3,0.7592450997705673,9291,570694
pt-8th,0.4,0.753255726957486,9291,570694
pt-8th,0.5,0.7375739225614912,9291,570694
